Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1
EA_G__ELF5	4.2981	5.8202	7.3218	7.309	4.3044	4.9445	4.6138	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.1992	7.4263	5.3967	4.094	4.411	4.0815	6.4913	6.7385	4.4565	4.0654	7.7369	4.2349	6.8165	4.3561	4.3397	4.6392	5.7308	6.1555	4.6482	4.6594	4.1047	8.7989	4.5889	5.8785	8.5803	7.339	5.5081	5.3151	4.6994	6.8873
EA_G__SPRY4	9.0195	6.6202	6.6733	6.5233	5.3949	4.3592	5.1087	5.8668	5.2156	4.8916	8.3628	4.455	5.675	6.5175	5.971	6.6496	7.3777	5.3601	6.1623	5.7014	4.8896	7.4247	5.4056	4.9412	7.1763	5.617	8.7436	8.7764	4.8798	6.9874	6.6369	7.335	5.9385	6.0836	7.291	5.7511	7.4834	7.3463	7.16	7.3526	4.5094	6.2514	7.2178	4.3416	8.6479	4.5361
EA_G__GAL	5.663	5.1076	5.6671	6.8518	5.351	5.6496	5.3981	6.9161	7.531	5.9946	5.0022	6.2855	9.8244	9.3584	8.1175	5.8454	5.2346	6.1611	8.1456	7.1952	5.5051	4.9659	6.3427	6.921	5.262	4.8406	5.4769	4.6978	6.0197	5.0283	8.9826	5.7312	6.6721	5.6401	5.2223	6.4893	5.6417	6.0155	4.7193	5.5239	5.4186	5.8586	5.3666	5.6344	5.679	7.9118
EA_G__IFI16	4.0877	3.3135	3.0329	2.8529	3.211	3.0887	7.2564	3.0011	4.1357	7.8109	2.953	3.1713	6.782	7.3153	6.8005	7.608	3.2238	3.3307	3.4206	7.3667	8.5168	6.9341	3.2072	3.5063	3.4209	7.0177	3.9298	6.146	2.9532	3.8313	4.8527	3.6445	3.2313	3.521	3.32	6.6117	7.8237	3.212	3.3221	3.8013	3.6526	3.1544	3.1334	3.128	3.5191	3.2743
EA_G__DUSP6	9.8728	5.2274	9.4609	7.1006	5.9895	4.9247	6.9374	5.8978	4.2526	6.6354	8.795	5.5236	4.7839	9.6087	7.3352	8.9962	7.6982	6.4023	7.7043	5.4817	5.005	7.6371	5.7042	5.4104	10.0187	6.56	10.2348	10.3426	5.7494	8.1152	6.1026	9.5996	7.4542	5.0428	6.9765	6.9249	6.2371	9.1666	7.692	11.3319	6.2762	7.5986	9.9721	5.0224	10.1719	4.2821
EA_G__HINT2	8.0052	8.1953	8.3493	8.5204	8.0287	8.444	8.6631	8.6324	8.2309	8.3192	7.9605	8.1995	7.829	7.835	8.4917	8.1694	8.1664	11.004	8.228	7.9399	9.7754	7.7405	8.2384	8.5383	8.2892	7.8426	7.7491	8.1583	8.8464	8.33	8.9384	8.9275	8.2797	8.1775	7.4303	7.5048	7.462	7.8726	7.9341	7.5324	8.6064	8.5092	8.488	8.5007	8.342	8.2774
EA_G__SAMD9	5.7288	4.6962	2.7646	6.5777	4.7489	3.0983	7.0023	3.4597	5.7345	5.7574	2.7804	5.9947	5.8533	6.588	7.8562	8.9928	5.3186	3.2942	5.0249	5.6006	8.6525	7.7061	4.4465	3.6845	7.1888	6.4122	3.9367	6.9152	5.492	6.7635	5.4216	3.1373	4.0606	4.124	6.1146	5.49	6.5337	4.4255	6.3606	7.7545	4.7244	2.8464	4.6589	4.2702	3.7209	3.345
EA_G__TMEM45A	3.4262	5.435	3.6833	3.8514	7.4132	3.5319	5.1699	7.2249	4.0808	6.8617	7.5313	3.9416	3.8688	6.2257	8.9489	7.9683	3.4496	6.9746	6.5289	6.6702	7.6299	7.5793	2.931	3.9082	4.449	8.7799	5.8345	6.7967	3.7988	7.9835	5.7699	4.2971	7.4867	5.4476	8.3158	10.5267	8.06	7.0406	4.7847	8.6417	3.2231	4.2422	6.9773	2.72	4.7678	3.9655
EA_G__GPR126	6.8478	8.0341	6.6201	6.7439	7.9196	6.9405	8.7708	8.109	5.7541	3.8332	6.7778	6.4435	8.8443	6.6616	7.4616	7.5043	6.6911	9.3007	6.4323	8.5359	7.2764	4.4042	8.8511	7.8803	5.5127	5.7475	7.123	8.7706	7.1496	6.6251	5.9444	5.4252	6.962	7.7016	4.9384	6.4364	6.2928	9.739	7.8677	7.3974	7.062	8.2171	7.5061	7.2827	6.6757	6.9298
EA_G__AKR1C3	8.0916	5.8327	3.7726	4.7068	5.4481	3.7124	4.7289	7.3325	6.3418	10.6601	6.7336	3.9747	3.603	9.7453	7.0165	8.7086	3.8587	4.4783	8.7665	8.2096	9.9154	5.3562	4.0953	5.5774	4.9131	6.6928	6.7088	5.1815	4.8762	10.6157	4.9063	4.4237	9.1691	4.1457	4.9186	6.397	8.0434	8.6478	9.5521	6.251	4.6757	3.9799	5.8663	4.0118	4.6465	4.8184
EA_G__DPYD	5.7967	5.64	4.3788	4.2825	8.3159	4.2017	7.8964	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	5.538	4.5943	4.9597	9.4643	8.6987	8.286	4.1438	5.5058	6.1088	7.1156	4.7003	8.739	4.3333	7.724	7.2207	5.5622	5.0709	5.8884	7.8689	7.0905	7.6585	4.0732	5.9466	6.7683	4.2669	4.0758	4.686	4.0451	6.4362	4.3467
EA_G__EHD2	7.3175	7.175	6.3603	5.9076	9.1305	7.8483	9.2984	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	9.2252	8.1121	9.9391	6.6247	6.7547	7.943	8.9681	7.5343	7.6772	6.0786	8.2494	6.2251	7.1402	6.3427	7.063	8.4964	8.0041	9.1996	6.4192	5.9169	9.2335	7.4684	6.7046	6.3061	6.9207	7.7155	6.7111
EA_G__NAV2	7.047	5.9388	5.1132	6.0164	6.6849	5.544	7.5525	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	7.7367	4.7494	5.5622	7.9494	5.0788	6.3855	7.6234	5.2578	4.9935	7.0901	6.821	7.11	6.9071	5.3098	8.0044	9.0798	5.7505	6.6172	6.8978	8.132	7.6056	8.1373	6.9788	7.2697	7.9451	4.7301	5.2354	5.8503	4.8832	6.842	4.7912
EA_G__ITGA6	6.7446	3.5983	6.6671	6.3461	7.6542	5.1661	6.8924	9.2656	5.7846	8.5126	7.5573	5.6742	7.6857	10.5288	10.3204	8.9874	5.8986	3.6557	8.6883	6.2079	7.0879	7.2968	4.2723	3.9472	7.6904	6.793	5.9178	8.1442	6.6046	8.5089	7.6112	7.7496	7.938	4.1794	7.3789	8.221	8.2275	6.6701	9.0005	7.5001	6.7193	7.6797	8.0979	6.882	6.6226	4.358
EA_G__AGPS	8.9363	4.5517	7.2311	5.8532	8.6021	7.7053	9.966	9.7677	7.5441	8.9797	8.0721	7.7352	8.2133	10.1761	9.4607	8.6283	5.8763	8.5532	9.0848	9.1475	8.4572	9.3307	3.0191	3.3336	8.3692	9.0361	7.3817	9.4937	5.9847	8.784	8.8559	6.8236	8.5514	5.0358	9.7549	8.9906	9.4369	8.3386	7.8373	7.8151	3.4863	7.9964	4.4635	4.0977	3.6828	5.1068
EA_G__LAMB3	8.5501	6.2701	5.4417	6.4218	5.2189	5.3861	8.0007	9.3489	5.4467	7.5722	4.7279	5.7245	6.2905	11.1412	9.6121	8.9728	5.3228	5.6071	10.4168	5.8812	9.7743	7.6873	6.0018	5.4441	6.5937	6.6744	7.656	9.8024	7.3708	9.2933	6.6629	6.0881	6.5713	7.1102	6.762	9.9981	7.5762	7.572	6.965	8.4298	6.1171	6.5865	8.4023	5.3979	6.2948	6.0822
EA_G__CNN3	8.4208	5.6037	7.712	6.7753	9.0177	9.2162	9.186	8.9063	8.3886	8.6155	9.2855	7.7128	8.5625	7.7239	9.4372	9.1471	8.8511	7.7323	9.3889	9.7847	9.7946	9.0441	4.2049	3.5971	9.1817	9.392	8.0108	9.5909	8.2272	9.1239	8.1729	9.3042	9.1002	7.601	9.0462	8.283	8.3459	8.3036	11.249	8.6341	8.8297	7.4936	6.5196	8.3843	8.5096	4.7103
EA_G__BMP7	4.8945	6.8651	10.7644	7.0475	4.9199	5.2105	5.4022	6.6967	4.8341	5.5648	9.3826	5.9375	7.3643	5.7413	7.7826	5.3311	4.9001	8.5998	7.4153	6.4573	4.886	4.7875	9.081	8.6703	5.4326	7.7476	5.373	4.7525	6.3689	6.4318	6.9026	5.6016	7.4356	9.3826	5.1576	5.096	4.853	4.6794	5.5083	6.4307	5.098	7.4673	7.2208	4.8965	5.5339	5.9964
EA_G__CYBRD1	8.8064	4.3372	4.9547	4.0631	7.6114	4.3254	7.5301	5.7306	5.583	4.58	8.7916	5.217	5.8898	6.3778	6.5731	4.8922	7.4008	4.6864	4.8483	7.1127	7.7659	7.2027	4.3843	4.8649	5.7059	7.9563	6.9987	7.6871	6.5278	6.7933	7.352	7.5195	6.0901	4.923	8.6932	9.2077	7.1187	8.8201	9.6421	5.2229	7.3353	6.3207	7.5879	5.6993	9.0063	4.4819
EA_G__MT1JP	6.7292	6.6321	6.2727	6.3985	6.9116	6.6686	6.9877	6.6193	5.8113	6.6685	6.5757	6.7785	5.8586	7.179	7.6138	7.8824	5.8863	6.3952	7.5047	6.5983	7.2695	7.4192	6.4199	6.6983	5.8912	6.5937	6.2681	8.0383	6.3704	7.7117	7.0822	6.9775	6.1844	7.1574	8.626	8.2754	8.4374	6.9914	6.874	8.0625	5.7723	6.1877	6.2701	6.591	7.9063	5.6863
EA_G__TSEN54	8.1719	8.2347	7.9326	8.2435	7.3471	8.602	7.9961	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	8.5393	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.7048	7.5306	7.8915	7.7392	8.7507	7.4928	7.4268	9.2291	8.1706	8.6467	7.5815	7.3676	7.6907	7.6974	7.366	7.7498	8.2297	8.3159	11.2902	8.2921	7.5444	8.5669
EA_G__PDGFC	6.2406	5.2252	4.5988	4.6285	6.9602	4.254	6.294	6.6341	6.9329	6.5961	5.683	4.128	4.3127	5.9231	5.6638	7.0851	5.5828	6.1259	5.5105	6.0058	6.6886	6.8017	4.0501	4.408	3.7897	6.6632	4.9434	8.0265	5.6458	4.57	5.7232	5.3536	5.982	4.9157	8.2663	6.9944	7.0339	3.9536	6.0774	5.2456	6.1582	3.8801	5.8732	5.4219	4.398	5.5455
EA_G__ID1	9.4047	6.5137	5.7936	5.7872	8.4098	7.6828	8.8608	9.0987	8.9079	7.4013	9.3635	5.7669	5.3555	9.9187	9.9858	8.8705	8.6591	9.3233	8.0025	11.1838	9.2602	7.4053	8.0666	6.8268	7.6388	7.4791	8.5663	8.0305	7.5641	10.4555	6.425	8.1994	7.1203	7.3442	8.7629	9.2204	9.3456	7.6309	5.1691	7.9927	6.9665	6.2329	6.962	6.2584	7.0002	8.281
EA_G__TFAP2C	8.4653	10.5778	10.7608	10.6184	7.8386	9.2186	7.3581	9.3715	8.6474	8.6443	10.4105	10.6646	9.1427	7.5203	8.1918	9.9949	8.3308	9.229	8.6087	7.8509	8.6552	6.3748	9.5426	9.962	8.8983	9.3239	9.4242	7.7802	9.0826	7.7759	8.7367	8.0262	9.6231	10.7448	4.2527	8.6018	6.8846	9.3288	9.5985	9.3561	9.5701	9.9779	9.4766	8.6696	8.959	9.141
EA_G__EVI1	5.6366	5.0811	4.0497	4.4005	3.903	4.6795	6.9382	4.5918	3.9043	4.6136	4.1728	3.8124	3.7477	6.6586	6.375	6.937	6.7405	7.217	5.6055	3.7139	7.5972	6.3319	5.4193	5.4397	6.6358	4.2674	7.1328	7.6012	5.1023	5.962	4.6745	4.6646	3.4113	5.7564	3.979	4.8133	7.3787	4.8373	6.4731	6.4312	6.407	5.5098	4.9591	5.844	6.1673	4.9089
EA_G__MSL-1	8.3143	9.5621	8.0684	8.5439	7.6181	8.671	7.5789	7.5438	8.1079	7.5239	7.0892	7.678	7.9667	7.5503	7.291	7.2022	7.4844	7.4556	7.6121	8.1564	7.084	7.2103	7.5327	7.4885	8.1408	7.7784	8.0182	7.5154	7.0039	7.2696	7.288	7.5585	7.706	9.1093	7.3865	6.9794	7.651	7.6485	7.4469	6.9326	7.8802	10.7038	11.3219	7.957	6.7075	7.6873
