Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1
U133A__AZGP1	11.0784	9.5652	4.1337	4.3722	5.3773	3.828	4.9144	9.7205	4.6557	3.8861	7.4406	3.8669	7.7823	6.7995	6.6826	8.834	3.7841	10.0723	4.0968	4.4819	3.7957	3.9856	3.0804	7.5474	4.0232	6.4078	9.4461	9.2802	5.7217	4.0741	3.8247	3.7598	4.1752	9.6783	4.0009	5.3704	7.4854	8.8218	4.9162
U133A__ATP1B1	9.9985	10.6555	8.987	9.0894	9.4873	7.953	10.5124	10.7765	9.4161	5.5723	7.0005	8.0635	9.8683	9.024	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	9.4818	4.4435	10.2751	9.3408	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	10.6697	8.8248	8.5279	8.5607	9.3935	8.2913
U133A__CRISPLD2	5.923	7.4687	6.8837	7.2715	6.6231	8.8524	5.9012	6.0864	9.8636	6.5173	6.1973	6.2995	8.7598	6.864	7.1847	6.9195	8.9948	7.1804	7.4314	5.9925	6.5184	5.8596	7.0327	6.0859	6.0414	7.68	6.3421	6.3528	6.2556	5.9922	6.2245	6.4427	7.297	6.2122	6.1095	6.9753	6.1861	6.4316	6.7485
U133A__STOM	7.7838	8.9261	5.4564	6.916	7.5327	4.8606	9.9254	9.4798	6.7455	7.7202	9.0529	6.1403	7.1383	7.9996	7.4408	8.6914	6.8886	9.0713	6.4311	6.8483	7.4588	7.2538	6.8314	7.2943	7.4013	7.2572	7.3641	9.9082	7.4541	7.9452	4.54	5.612	5.37	8.2211	9.3588	7.3507	7.4336	8.2886	8.6891
U133A__HPCAL1	5.578	5.9845	7.8283	6.8938	5.68	6.2353	6.2788	5.0138	6.6114	7.5659	5.1776	5.7204	6.5238	7.2026	6.7662	5.615	5.6009	6.7248	7.1728	6.3002	6.1858	6.2615	7.3554	5.8117	6.8879	7.152	6.1281	5.5699	5.8186	6.4995	8.5889	8.5868	6.3343	6.1302	6.5193	5.2869	5.4867	6.0023	6.3035
U133A__DECR1	6.66	9.0064	4.9993	7.3199	6.8777	7.0909	7.5545	7.8356	5.9952	7.8875	7.8221	5.3596	7.6481	6.4086	7.8985	7.6777	8.2614	7.4609	6.9361	6.6044	7.7078	7.3777	7.9482	8.3211	7.3017	6.9448	6.9046	7.1159	9.7578	7.3422	5.6397	6.2275	3.9487	8.2313	3.9781	7.355	7.5332	6.7474	6.8056
U133A__FXYD3	11.5397	11.0245	8.0183	10.1672	10.0777	5.6784	10.1874	10.7614	6.2523	10.0586	7.166	10.7566	11.6944	10.7079	9.3959	11.2081	6.987	11.426	6.3006	7.5367	10.2466	10.2571	5.9241	11.9506	6.3403	11.0188	11.5663	10.5882	10.2691	6.2193	8.8516	6.3659	10.3356	11.292	11.1506	8.8209	11.6832	10.5311	10.7219
U133A__DENND2D	7.4958	7.4556	4.9648	5.7265	8.5326	4.6513	8.6196	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	4.5585	4.9996	6.5644	7.7754	5.2324	7.2123	6.653	7.6433	4.7386	6.6939	5.02	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.6249	7.0955	6.6906	6.9624	6.7653	6.5483
U133A__NETO2	4.1866	5.2203	8.556	5.5229	7.0904	8.3314	3.6251	4.9915	7.0426	7.6731	6.7208	7.6539	7.7076	8.3348	6.592	6.4802	7.0906	8.0553	7.0052	6.605	6.4807	8.0547	5.8595	3.8496	4.3	7.2842	7.0955	8.1756	5.1442	7.8191	7.5577	8.059	8.5558	7.8592	7.8868	4.4382	6.024	6.2995	7.593
U133A__DDHD2	5.7329	5.1869	5.7385	6.3218	7.5291	7.3764	7.6679	5.7755	7.0075	6.4243	6.4252	6.0938	5.7536	5.0022	5.3877	4.7849	8.2977	5.5132	5.3983	4.8431	5.0398	9.4371	6.2164	4.9926	5.8959	7.1894	5.1896	5.0304	5.7845	5.3218	6.174	6.0806	6.4773	5.8549	8.5294	5.6816	7.1608	6.7111	8.0634
